Key,InnerKey,Value
0,1,11
0,2,6
1,3,4
1,1,11
1,4,1
1,2,1
2,1,12
2,2,3
2,6,1
3,1,18
3,2,6
4,1,12
4,3,1
4,2,2
5,1,7
5,2,1
5,8,1
6,1,14
6,3,1
6,2,2
7,1,17
7,5,1
7,4,1
8,2,7
8,1,10
8,4,1
9,2,2
9,1,9
9,6,1
10,1,15
10,3,2
10,4,1
10,2,2
11,4,1
11,1,8
11,3,2
11,2,2
12,3,3
12,1,10
12,2,2
12,4,1
13,1,10
13,4,1
13,3,3
13,2,2
14,1,7
14,4,2
14,5,1
14,2,2
15,1,11
15,2,4
15,3,1
15,4,1
16,1,14
16,2,4
16,3,1
17,1,22
17,2,5
17,3,1
18,1,5
18,2,3
19,1,16
19,3,2
19,5,1
19,4,1
20,1,10
20,2,3
20,3,2
21,2,2
21,1,11
21,4,1
21,3,1
22,1,13
22,2,2
23,1,11
23,3,2
24,1,10
24,2,4
24,3,1
24,4,1
25,2,6
25,1,9
25,3,1
26,1,10
26,2,6
26,6,1
27,1,13
27,2,2
27,5,1
28,1,10
28,2,5
28,3,1
29,1,10
29,4,1
29,2,1
29,9,1
30,2,3
30,1,11
30,4,1
31,1,13
31,2,5
32,1,8
32,3,1
32,4,1
33,1,3
33,6,1
33,8,1
33,2,1
34,2,5
34,1,12
34,3,2
35,1,8
35,3,1
35,4,1
35,2,1
35,6,1
36,1,9
36,2,4
36,4,2
37,1,12
37,2,5
38,2,3
38,1,9
38,3,1
39,1,10
39,2,1
39,5,1
