Key,Array
0,"2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0"
1,"4.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0"
2,"3.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,6.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0"
3,"1.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0"
4,"2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0"
5,"2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0"
6,"2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0"
7,"3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,6.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0"
8,"2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0"
9,"2.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0"
